name,nickname
aaron,erin
aaron,ron
aaron,ronnie
aaron,aaron
abel,ab
abel,abe
abel,eb
abel,ebbie
abel,abel
abiel,ab
abiel,abiel
abigail,abby
abigail,gail
abigail,nabby
abigail,abigail
abner,ab
abner,abner
abraham,ab
abraham,abe
abraham,abraham
abram,ab
abram,abram
ada,addy
ada,ada
adaline,ada
adaline,addy
adaline,delia
adaline,dell
adaline,lena
adaline,adaline
addy,adele
addy,addy
adelaide,addy
adelaide,adele
adelaide,dell
adelaide,della
adelaide,heidi
adelaide,adelaide
adele,dell
adele,adele
adeline,ada
adeline,addy
adeline,delia
adeline,dell
adeline,lena
adeline,adeline
adelphia,addy
adelphia,adele
adelphia,dell
adelphia,delphia
adelphia,philly
adelphia,adelphia
agatha,aggy
agatha,agatha
agnes,aggy
agnes,inez
agnes,nessa
agnes,agnes
aileen,allie
aileen,lena
aileen,aileen
al,bert
al,alex
al,al
alan,al
alan,alan
albert,al
albert,bert
albert,albert
alberta,allie
alberta,bert
alberta,bertie
alberta,alberta
aldo,al
aldo,aldo
aldrich,rich
aldrich,riche
aldrich,aldrich
alexander,al
alexander,alex
alexander,sandy
alexander,alexander
alexandra,alex
alexandra,alla
alexandra,sandra
alexandra,sandy
alexandra,alexandra
alfonse,al
alfonse,alfonse
alfred,al
alfred,fred
alfred,freddy
alfred,alfred
alfreda,alfy
alfreda,freda
alfreda,freddy
alfreda,frieda
alfreda,alfreda
alice,allie
alice,elsie
alice,lisa
alice,alice
alicia,allie
alicia,elsie
alicia,lisa
alicia,alicia
allan,al
allan,allan
allen,al
allen,allen
allisandra,allie
allisandra,allisandra
almena,allie
almena,mena
almena,almena
alonzo,al
alonzo,lon
alonzo,lonzo
alonzo,alonzo
amanda,manda
amanda,mandy
amanda,amanda
amelia,amy
amelia,emily
amelia,mel
amelia,millie
amelia,amelia
anderson,andy
anderson,anderson
andrew,andy
andrew,drew
andrew,andrew
andy,drew
andy,andy
ann,annie
ann,nan
ann,nana
ann,nancy
ann,nanny
ann,ann
anne,annie
anne,nan
anne,nana
anne,nancy
anne,nanny
anne,ann
anne,anne
anthony,tony
anthony,anthony
antoinette,ann
antoinette,netta
antoinette,tony
antoinette,antoinette
antonia,ann
antonia,netta
antonia,tony
antonia,antonia
ara,arry
ara,belle
ara,ara
arabella,ara
arabella,arry
arabella,bella
arabella,belle
arabella,arabella
arabelle,ara
arabelle,arry
arabelle,bella
arabelle,belle
arabelle,arabelle
archibald,archie
archibald,archibald
arlene,arly
arlene,lena
arlene,arlene
armena,arry
armena,mena
armena,armena
arthur,art
arthur,arthur
asahel,asa
asahel,asahel
asaph,asa
asaph,asaph
asenath,assene
asenath,natty
asenath,sene
asenath,asenath
august,gus
august,august
augusta,aggy
augusta,gatsy
augusta,gussie
augusta,tina
augusta,augusta
augustina,aggy
augustina,gatsy
augustina,gussie
augustina,tina
augustina,augustina
augustine,august
augustine,austin
augustine,gus
augustine,augustine
augustus,august
augustus,austin
augustus,gus
augustus,augustus
azariah,aze
azariah,riah
azariah,azariah
bab,barby
bab,bab
babs,bab
babs,barby
babs,babs
barbara,bab
barbara,babs
barbara,barby
barbara,bobbie
barbara,barbara
barnabas,barney
barnabas,barnabas
bartholomew,bart
bartholomew,bartel
bartholomew,bat
bartholomew,mees
bartholomew,meus
bartholomew,bartholomew
beatrice,bea
beatrice,trisha
beatrice,trix
beatrice,trixie
beatrice,beatrice
becca,beck
becca,becca
beck,becky
beck,beck
belinda,belle
belinda,linda
belinda,belinda
bella,belle
bella,bella
ben,bennie
ben,ben
benedict,ben
benedict,bennie
benedict,benedict
benjamin,ben
benjamin,benjy
benjamin,bennie
benjamin,jamie
benjamin,benjamin
bernard,barney
bernard,berney
bernard,bernie
bernard,bernard
berney,bernie
berney,berney
bert,bertie
bert,bob
bert,bobby
bert,bert
bertha,bert
bertha,bertie
bertha,birdie
bertha,bertha
bess,bessie
bess,bess
beth,betsy
beth,betty
beth,beth
biddie,biddy
biddie,biddie
bill,fred
bill,willie
bill,billy
bill,bill
billy,fred
billy,billy
bob,rob
bob,bob
bobby,rob
bobby,bob
bobby,bobby
brad,ford
brad,brad
bradford,brad
bradford,ford
bradford,bradford
brady,brody
brady,brady
bridget,biddie
bridget,biddy
bridget,bridgie
bridget,bridie
bridget,bridget
broderick,brady
broderick,brody
broderick,rick
broderick,ricky
broderick,broderick
calvin,cal
calvin,vin
calvin,vinny
calvin,calvin
cameron,cam
cameron,ron
cameron,ronny
cameron,cameron
camille,cammie
camille,millie
camille,camille
carol,carrie
carol,cassie
carol,lynn
carol,carole
carol,carol
carolann,carol
carolann,carole
carolann,carolann
caroline,carol
caroline,carole
caroline,carrie
caroline,cassie
caroline,lynn
caroline,caroline
carolyn,carrie
carolyn,cassie
carolyn,lynn
carolyn,carolyn
carrie,cassie
carrie,carrie
casey,k.c.
casey,casey
cassandra,cassie
cassandra,sandra
cassandra,sandy
cassandra,cassandra
catherine,cassie
catherine,cathy
catherine,kathy
catherine,katy
catherine,kay
catherine,kit
catherine,kittie
catherine,lena
catherine,trina
catherine,catherine
cathleen,cassie
cathleen,cathy
cathleen,kathy
cathleen,katy
cathleen,kay
cathleen,kit
cathleen,kittie
cathleen,lena
cathleen,trina
cathleen,cathleen
cathy,kathy
cathy,cathy
cecilia,celia
cecilia,cissy
cecilia,cecilia
cedric,ced
cedric,rick
cedric,ricky
cedric,cedric
charles,carl
charles,charlie
charles,chick
charles,chuck
charles,charles
charlie,chuck
charlie,charlie
charlotte,char
charlotte,lotta
charlotte,lottie
charlotte,sherry
charlotte,charlotte
chauncey,chan
chauncey,chauncey
cher,sher
cher,cher
cheryl,sheryl
cheryl,cheryl
chester,chet
chester,chester
christa,chris
christa,christa
christian,chris
christian,kit
christian,christian
christiana,ann
christiana,chris
christiana,christy
christiana,crissy
christiana,kris
christiana,kristy
christiana,tina
christiana,christiana
christina,chris
christina,christy
christina,crissy
christina,kris
christina,kristy
christina,tina
christina,christina
christine,chris
christine,chrissy
christine,crissy
christine,kris
christine,kristy
christine,tina
christine,christine
christopher,chris
christopher,kit
christopher,christopher
christy,crissy
christy,christy
clair,clare
clair,clara
clair,clair
clare,clara
clare,clare
clarence,clair
clarence,clare
clarence,clarence
clarinda,clara
clarinda,clarinda
clarissa,cissy
clarissa,clara
clarissa,clarissa
clement,clem
clement,clement
cliff,cliff
cliff,cliff
clifford,cliff
clifford,ford
clifford,clifford
clifton,cliff
clifton,tony
clifton,clifton
columbus,clum
columbus,columbus
con,conny
con,con
conrad,con
conrad,conny
conrad,conrad
constance,connie
constance,constance
cordelia,cordy
cordelia,delia
cordelia,cordelia
cornelia,cornie
cornelia,corny
cornelia,nelia
cornelia,nelle
cornelia,nelly
cornelia,cornelia
cornelius,con
cornelius,conny
cornelius,corny
cornelius,niel
cornelius,cornelius
courtney,court
courtney,curt
courtney,courtney
curtis,curt
curtis,curtis
cynthia,cindy
cynthia,cintha
cynthia,cynthia
cyrenius,cene
cyrenius,cy
cyrenius,renius
cyrenius,serene
cyrenius,swene
cyrenius,cyrenius
dal,dahl
dal,dal
dalton,dahl
dalton,dalton
dan,danny
dan,dan
daniel,dan
daniel,danny
daniel,daniel
darlene,darry
darlene,lena
darlene,darlene
david,dave
david,davey
david,day
david,david
debbie,deb
debbie,debby
debbie,debbie
debby,deb
debby,debby
debora,deb
debora,debbie
debora,debby
debora,debora
deborah,deb
deborah,debbie
deborah,debby
deborah,deborah
debra,deb
debra,debbie
debra,debra
delbert,bert
delbert,del
delbert,delbert
deliverance,della
deliverance,delly
deliverance,dilly
deliverance,deliverance
dell,della
dell,dell
delores,dee
delores,dell
delores,della
delores,lola
delores,lolly
delores,delores
dennis,denny
dennis,dennis
dennison,denny
dennison,dennison
derrick,eric
derrick,rick
derrick,ricky
derrick,derrick
dicey,dicie
dicey,dicey
dick,rick
dick,dick
domenic,dom
domenic,domenic
dominic,dom
dominic,dominic
donald,don
donald,donnie
donald,donny
donald,dony
donald,donald
donnie,donny
donnie,donnie
dorcus,darkey
dorcus,dorcus
dorothy,dolly
dorothy,dortha
dorothy,dot
dorothy,dotty
dorothy,dorothy
dot,dotty
dot,dot
eb,ebbie
eb,eb
ebenezer,eb
ebenezer,ebbie
ebenezer,eben
ebenezer,ebenezer
ed,eddie
ed,eddy
ed,ed
eddie,eddy
eddie,eddie
edgar,ed
edgar,eddie
edgar,eddy
edgar,edgar
edith,edie
edith,edye
edith,edith
edmond,ed
edmond,eddie
edmond,eddy
edmond,edmond
edmund,ed
edmund,eddie
edmund,eddy
edmund,ned
edmund,ted
edmund,edmund
eduardo,ed
eduardo,eddie
eduardo,eddy
eduardo,eduardo
edward,ed
edward,eddie
edward,eddy
edward,ned
edward,ted
edward,teddy
edward,edward
edwin,ed
edwin,eddie
edwin,eddy
edwin,ned
edwin,win
edwin,edwin
edyth,edie
edyth,edye
edyth,edyth
edythe,edie
edythe,edye
edythe,edythe
elbert,albert
elbert,elbert
eleanor,elaine
eleanor,ellen
eleanor,ellie
eleanor,lanna
eleanor,lenora
eleanor,nelly
eleanor,nora
eleanor,eleanor
eleazer,lazar
eleazer,eleazer
elias,eli
elias,lee
elias,lias
elias,elias
elijah,eli
elijah,lige
elijah,elijah
eliphalet,left
eliphalet,eliphalet
elisha,eli
elisha,lish
elisha,elisha
elizabeth,bess
elizabeth,bessie
elizabeth,beth
elizabeth,betsy
elizabeth,betty
elizabeth,eliza
elizabeth,lib
elizabeth,libby
elizabeth,lisa
elizabeth,liz
elizabeth,liza
elizabeth,lizzie
elizabeth,elizabeth
ella,ellen
ella,ella
ellie,elly
ellie,ellie
ellswood,elsey
ellswood,ellswood
elmira,ellie
elmira,elly
elmira,mira
elmira,elmira
elouise,louise
elouise,elouise
elsie,elsey
elsie,elsie
elswood,elsey
elswood,elswood
elwood,woody
elwood,elwood
elze,elsey
elze,elze
emanuel,manny
emanuel,manuel
emanuel,emanuel
emeline,em
emeline,emily
emeline,emma
emeline,emmy
emeline,milly
emeline,emeline
emily,emma
emily,emmy
emily,millie
emily,mel
emily,emily
emma,emmy
emma,emma
epaphroditius,dite
epaphroditius,ditus
epaphroditius,dyce
epaphroditius,dyche
epaphroditius,eppa
epaphroditius,epaphroditius
ephraim,eph
ephraim,ephraim
eric,rick
eric,ricky
eric,eric
ernest,ernie
ernest,ernest
estella,essy
estella,stella
estella,estella
estelle,essy
estelle,stella
estelle,estelle
eugene,gene
eugene,eugene
eva,eve
eva,eva
evaline,eva
evaline,eve
evaline,lena
evaline,evaline
ezekiel,ez
ezekiel,zeke
ezekiel,ezekiel
ezra,ez
ezra,ezra
faith,fay
faith,faith
feltie,felty
feltie,feltie
ferdinand,ferdie
ferdinand,fred
ferdinand,freddie
ferdinand,freddy
ferdinand,ferdinand
fidelia,delia
fidelia,fidelia
florence,flo
florence,flora
florence,flossy
florence,florence
fran,frannie
fran,fran
frances,cissy
frances,fanny
frances,fran
frances,francie
frances,frankie
frances,frannie
frances,franniey
frances,sis
frances,frances
francine,fran
francine,francie
francine,frannie
francine,franniey
francine,francine
francis,fran
francis,frank
francis,frankie
francis,francis
frankie,frank
frankie,frankie
franklin,fran
franklin,frank
franklin,franklin
franklind,frank
franklind,franklind
fred,freddy
fred,fred
freda,frieda
freda,freda
frederick,fred
frederick,freddie
frederick,freddy
frederick,fritz
frederick,frederick
fredericka,freda
fredericka,freddy
fredericka,frieda
fredericka,ricka
fredericka,fredericka
frieda,fred
frieda,freddie
frieda,freddy
frieda,frieda
gabby,gabe
gabby,gabby
gabriel,gabby
gabriel,gabe
gabriel,gabriel
gabriella,ella
gabriella,gabby
gabriella,gabriella
gabrielle,ella
gabrielle,gabby
gabrielle,gabrielle
genevieve,eve
genevieve,jean
genevieve,jenny
genevieve,genevieve
geoff,jeff
geoff,geoff
geoffrey,geoff
geoffrey,jeff
geoffrey,geoffrey
gerald,gerry
gerald,jerry
gerald,gerald
geraldine,dina
geraldine,gerrie
geraldine,gerry
geraldine,jerry
geraldine,geraldine
gerry,jerry
gerry,gerry
gert,gertie
gert,gert
gertrude,gert
gertrude,gertie
gertrude,trudy
gertrude,gertrude
gilbert,bert
gilbert,gil
gilbert,wilber
gilbert,gilbert
gum,monty
gum,gum
gus,gussie
gus,gus
gwen,wendy
gwen,gwen
gwendolyn,gwen
gwendolyn,wendy
gwendolyn,gwendolyn
hannah,anna
hannah,nan
hannah,nanny
hannah,hannah
harold,hal
harold,harry
harold,harold
harriet,hattie
harriet,harriet
helen,ella
helen,ellen
helen,ellie
helen,lena
helen,helen
helene,ella
helene,ellen
helene,ellie
helene,lena
helene,helene
heloise,eloise
heloise,elouise
heloise,lois
heloise,heloise
henrietta,etta
henrietta,etty
henrietta,hank
henrietta,nettie
henrietta,retta
henrietta,henrietta
henry,hal
henry,hank
henry,harry
henry,henry
hephsibah,hipsie
hephsibah,hephsibah
hepsibah,hipsie
hepsibah,hepsibah
herbert,bert
herbert,herb
herbert,herbert
hermione,hermie
hermione,hermione
hester,esther
hester,hessy
hester,hetty
hester,hester
hezekiah,hez
hezekiah,hy
hezekiah,kiah
hezekiah,hezekiah
hiram,hy
hiram,hiram
hopkins,hop
hopkins,hopp
hopkins,hopkins
horace,horry
horace,horace
hubert,bert
hubert,hub
