fr_id:START_ID	to_id:END_ID	fr_val:string	to_val:string	type:TYPE	val:int
7933	20357	41319	a c tort	RID_REF	1
1040	10393	31108	a calogeracos	RID_REF	1
1526	11069	31800	a dadda	RID_REF	1
1742	11374	32107	a doikou	RID_REF	1
4608	15570	36424	a j macfarlane	RID_REF	1
6437	18198	39113	a k rebhan	RID_REF	1
3495	13990	34792	a kalloniatis	RID_REF	1
3712	14307	35112	a khvedelidze	RID_REF	1
4080	14829	35642	a kundu	RID_REF	1
4084	14835	35648	a kuniba	RID_REF	1
7087	19154	40098	a m semikhatov	RID_REF	15
7833	20213	41176	a n theron	RID_REF	2
6437	18200	39113	a rebhan	RID_REF	1
8288	20887	41869	a s vytheeswaran	RID_REF	2
7063	19114	40058	a sedrakyan	RID_REF	1
7087	19155	40098	a semikhatov	RID_REF	1
7225	19355	40303	a shirzad	RID_REF	3
1594	11166	31895	a.-c.davis	RID_REF	1
1004	10336	31044	a.a bytsenko	RID_REF	1
8875	21731	42723	a.a.abrikosov jr	RID_REF	3
8875	21732	42723	a.a.abrikosov jr.	RID_REF	2
52	8962	29638	a.a.actor	RID_REF	2
110	9043	29720	a.a.akhmetshin	RID_REF	2
234	9217	29900	a.a.andrianov	RID_REF	13
451	9526	30217	a.a.balinsky	RID_REF	4
584	9723	30416	a.a.belavin	RID_REF	3
601	9748	30442	a.a.belov	RID_REF	2
699	9882	30578	a.a.bichl	RID_REF	6
947	10254	30961	a.a.broyles	RID_REF	1
1004	10334	31044	a.a.btsenko	RID_REF	1
966	10280	30988	a.a.btysenko	RID_REF	1
1004	10332	31044	a.a.bytsenko	RID_REF	32
1278	10734	31454	a.a.cheshel	RID_REF	1
1384	10869	31590	a.a.coley	RID_REF	1
1659	11261	31993	a.a.deriglazov	RID_REF	30
2361	12315	33085	a.a.garcia	RID_REF	1
2495	12510	33287	a.a.giryavets	RID_REF	5
3393	13827	34630	a.a.johansen	RID_REF	2
3548	14066	34871	a.a.kapustnikov	RID_REF	4
3636	14196	35005	a.a.kehagias	RID_REF	6
3684	14266	35071	a.a.khelashvili	RID_REF	2
3792	14410	35215	a.a.kirillov	RID_REF	5
4491	15392	36217	a.a.logunov	RID_REF	1
4760	15781	36642	a.a.marino	RID_REF	2
4827	15885	36753	a.a.maslikov	RID_REF	1
5042	16180	37058	a.a.migdal	RID_REF	3
6029	17578	38487	a.a.penin	RID_REF	1
6466	18249	39163	a.a.reshetnyak	RID_REF	7
7377	19567	40518	a.a.rodrigues sobreira	RID_REF	1
6635	18481	39407	a.a.rosly	RID_REF	2
6748	18660	39594	a.a.saharian	RID_REF	9
7090	19162	40106	a.a.sen	RID_REF	1
7147	19247	40195	a.a.sharapov	RID_REF	18
7336	19510	40461	a.a.slavnov	RID_REF	15
7354	19534	40485	a.a.smirnov	RID_REF	1
7410	19616	40567	a.a.soloshenko	RID_REF	1
7553	19827	40781	a.a.stolin	RID_REF	1
7985	20438	41406	a.a.tseytlin	RID_REF	121
8256	20839	41820	a.a.vladimirov	RID_REF	6
8786	21596	42594	a.a.zheltukhin	RID_REF	12
8786	21595	42594	a.a.zheltuklhin	RID_REF	1
10	8898	29571	a.abada	RID_REF	2
18	8910	29583	a.abdesselam	RID_REF	2
20	8912	29586	a.abdurrahman	RID_REF	3
39	8942	29617	a.accardi	RID_REF	1
43	8947	29621	a.achucarro	RID_REF	5
54	8966	29642	a.adams	RID_REF	1
73	8994	29670	a.agarwal	RID_REF	3
77	9001	29677	a.aghamohammadi	RID_REF	11
77	9002	29677	a.aghamohammdi	RID_REF	1
80	9005	29681	a.agodi	RID_REF	1
110	9044	29720	a.akhmetshin	RID_REF	3
127	9065	29741	a.albrecht	RID_REF	1
139	9089	29765	a.alekseev	RID_REF	2
147	9100	29776	a.alexandrov	RID_REF	2
160	9121	29797	a.alimohammadi	RID_REF	1
3309	13710	34511	a.alonso izquierdo	RID_REF	8
218	9197	29878	a.anderson	RID_REF	1
227	9206	29888	a.andrasi	RID_REF	2
227	9207	29888	a.andrav si	RID_REF	1
258	9251	29934	a.antonov	RID_REF	1
294	9304	29988	a.arhrib	RID_REF	1
306	9320	30006	a.armoni	RID_REF	13
332	9357	30043	a.ashtekar	RID_REF	1
338	9368	30054	a.astashkevich	RID_REF	2
339	9369	30056	a.aste	RID_REF	2
357	9390	30077	a.aurilia	RID_REF	13
381	9424	30113	a.azhari	RID_REF	1
382	9425	30114	a.azizi	RID_REF	1
65	8982	29659	a.b.adib	RID_REF	1
442	9513	30203	a.b.balantekin	RID_REF	4
1003	10331	31040	a.b.bylev	RID_REF	2
2832	12991	33780	a.b.hammou	RID_REF	3
3479	13966	34769	a.b.kaganovich	RID_REF	5
3862	14515	35325	a.b.kobakhidze	RID_REF	3
4096	14852	35665	a.b.kurdikov	RID_REF	4
4155	14932	35739	a.b.lahanas	RID_REF	1
6031	17581	38491	a.b.penna-firme	RID_REF	1
6077	17649	38558	a.b.pestov	RID_REF	2
7081	19140	40084	a.b.selivanov	RID_REF	1
7742	20083	41042	a.b.tanaev	RID_REF	2
8297	20900	41881	a.b.waites	RID_REF	1
8711	21487	42480	a.b.zamolodchikov	RID_REF	3
396	9447	30138	a.babichenko	RID_REF	4
447	9520	30210	a.balaz	RID_REF	1
451	9527	30217	a.balinsky	RID_REF	1
455	9532	30223	a.ballesteros	RID_REF	7
499	9593	30285	a.barducci	RID_REF	2
513	9611	30303	a.barroso	RID_REF	1
518	9617	30309	a.bartoli	RID_REF	1
520	9620	30313	a.barvinsky	RID_REF	1
523	9625	30317	a.bashir	RID_REF	3
528	9631	30323	a.bassetto	RID_REF	28
532	9638	30330	a.basu	RID_REF	1
543	9655	30347	a.batrachenko	RID_REF	1
584	9722	30416	a.belavin	RID_REF	3
586	9725	30419	a.belhaj	RID_REF	8
593	9735	30429	a.belli	RID_REF	1
594	9736	30430	a.bellini	RID_REF	5
629	9785	30480	a.berard	RID_REF	2
653	9819	30515	a.berkovich	RID_REF	6
694	9876	30571	a.bialas	RID_REF	1
714	9901	30597	a.bilal	RID_REF	6
754	9960	30665	a.blasi	RID_REF	2
757	9965	30671	a.blaut	RID_REF	1
782	9997	30702	a.bogojevic	RID_REF	1
784	10000	30709	a.bohm	RID_REF	7
796	10018	30726	a.bonanno	RID_REF	6
820	10057	30760	a.borderies	RID_REF	1
823	10062	30765	a.boresch	RID_REF	2
833	10073	30776	a.borowiec	RID_REF	4
839	10080	30786	a.borzi	RID_REF	1
842	10084	30790	a.bossard	RID_REF	3
851	10094	30800	a.boulahoual	RID_REF	3
860	10108	30814	a.boveia	RID_REF	1
867	10123	30830	a.boyarsky	RID_REF	3
889	10160	30867	a.brandhuber	RID_REF	22
914	10201	30908	a.brignole	RID_REF	1
924	10217	30924	a.brizola	RID_REF	3
969	10288	30996	a.buchel	RID_REF	3
985	10307	31017	a.buonanno	RID_REF	5
993	10319	31028	a.burinskii	RID_REF	1
996	10323	31032	a.burnel	RID_REF	1
7933	20356	41319	a.c tort	RID_REF	1
366	9401	30087	a.c.avram	RID_REF	4
1015	10359	31069	a.c.cadavid	RID_REF	1
1594	11165	31895	a.c.davis	RID_REF	8
3495	13988	34792	a.c.kalloniatis	RID_REF	5
6088	17667	38577	a.c.petkou	RID_REF	21
4982	16104	36980	a.c.r.mendes	RID_REF	2
4982	16105	36980	a.c.rodrigues mendes	RID_REF	1
6839	18789	39725	a.c.santos	RID_REF	1
7055	19099	40043	a.c.scott	RID_REF	1
7933	20355	41319	a.c.tort	RID_REF	10
7311	19474	40425	a.c.v.v.de siqueira	RID_REF	2
1030	10380	31090	a.caldararu	RID_REF	1
1049	10406	31122	a.campbell-smith	RID_REF	6
1052	10411	31127	a.campos	RID_REF	2
1057	10421	31137	a.candiello	RID_REF	4
1066	10433	31149	a.capolupo	RID_REF	1
1068	10437	31153	a.cappelli	RID_REF	8
1089	10470	31186	a.carlini	RID_REF	2
1129	10526	31244	a.casher	RID_REF	5
1145	10549	31267	a.catal	RID_REF	1
1145	10550	31267	a.catal-ozer	RID_REF	1
1165	10579	31298	a.celi	RID_REF	2
1167	10584	31303	a.ceresole	RID_REF	18
2339	12280	33050	a.ch.ganchev	RID_REF	7
1180	10602	31320	a.chakrabarti	RID_REF	12
1191	10617	31335	a.chamblin	RID_REF	12
1192	10619	31337	a.chamorro	RID_REF	2
1259	10706	31425	a.chenaghlou	RID_REF	4
1276	10731	31450	a.chervov	RID_REF	1
1277	10733	31452	a.chervyakov	RID_REF	1
1314	10776	31496	a.chou	RID_REF	1
1384	10868	31590	a.coley	RID_REF	2
1387	10874	31595	a.collino	RID_REF	1
1390	10878	31600	a.collinucci	RID_REF	1
1402	10893	31615	a.connes	RID_REF	2
1410	10903	31624	a.constandache	RID_REF	2
1411	10904	31625	a.constantin	RID_REF	1
1458	10972	31696	a.coste	RID_REF	2
1496	11024	31749	a.cucchieri	RID_REF	2
1502	11034	31759	a.culatti	RID_REF	1
1528	11073	31802	a.d.dolgov	RID_REF	2
3316	13720	34521	a.d.jackson	RID_REF	3
3649	14216	35021	a.d.kennedy	RID_REF	1
5100	16263	37139	a.d.mitov	RID_REF	1
6230	17887	38800	a.d.popov	RID_REF	8
7473	19709	40661	a.d.speliotopoulos	RID_REF	1
1530	11076	31805	a.dabholkar	RID_REF	1
1531	11077	31806	a.dabolkhar	RID_REF	1
1526	11068	31800	a.dadda	RID_REF	14
1567	11127	31857	a.das	RID_REF	8
1571	11135	31864	a.dasgupta	RID_REF	2
8174	20718	41695	a.dasnieres de veigy	RID_REF	1
1588	11158	31888	a.davidson	RID_REF	1
1141	10541	31258	a.de castro	RID_REF	4
2214	12092	32847	a.de freitas	RID_REF	1
2487	12499	33275	a.de giovanni	RID_REF	2
4614	15577	36433	a.de la macorra	RID_REF	3
4811	15859	36727	a.de martino	RID_REF	3
6693	18572	39497	a.de rujula	RID_REF	1
1844	11532	32267	a.de souza dutra	RID_REF	13
1609	11186	31916	a.debenedictis	RID_REF	1
1617	11198	31928	a.deckmyn	RID_REF	1
1632	11222	31953	a.delgado	RID_REF	3
7083	19144	40088	a.della selva	RID_REF	1
1643	11240	31971	a.demichev	RID_REF	6
1674	11279	32010	a.dettki	RID_REF	2
1683	11292	32023	a.dhar	RID_REF	2
2459	12455	33231	a.di giacomo	RID_REF	2
1705	11322	32054	a.dimakis	RID_REF	10
1732	11360	32093	a.dobado	RID_REF	1
1736	11366	32099	a.dobrosielski	RID_REF	1
1761	11402	32136	a.donini	RID_REF	1
1790	11456	32190	a.dresse	RID_REF	2
1807	11477	32213	a.dubikovsky	RID_REF	2
1808	11479	32216	a.dubin	RID_REF	1
1828	11511	32245	a.duncan	RID_REF	2
1848	11538	32273	a.duviryak	RID_REF	3
1854	11548	32284	a.dymarsky	RID_REF	3
1333	10803	31523	a.e.chubykalo	RID_REF	1
1772	11422	32156	a.e.dorokhov	RID_REF	1
2019	11787	32527	a.e.faraggi	RID_REF	2
8866	21719	42712	a.e.gonc calves	RID_REF	2
8866	21718	42712	a.e.goncalves	RID_REF	15
8866	21717	42712	a.e.gonccalves	RID_REF	2
4058	14798	35611	a.e.kudryavtsev	RID_REF	4
5243	16467	37343	a.e.motter	RID_REF	1
5470	16786	37667	a.e.nelson	RID_REF	1
6830	18777	39712	a.e.santana	RID_REF	8
7127	19210	40156	a.e.shabad	RID_REF	1
2892	13077	33868	a.el hassouni	RID_REF	1
6482	18272	39191	a.el rhalami	RID_REF	2
6482	18271	39191	a.el.rhalami	RID_REF	1
230	9212	29893	a.f.andreev	RID_REF	1
4421	15300	36117	a.f.de lima	RID_REF	2
6312	18017	38931	a.f.de queiroz	RID_REF	1
5961	17482	38389	a.f.pasqua	RID_REF	2
6168	17791	38700	a.f.r de toledo piza	RID_REF	1
6168	17790	38700	a.f.r.de toledo piza	RID_REF	1
6396	18133	39047	a.f.ranada	RID_REF	1
1990	11742	32483	a.fabbri	RID_REF	12
1999	11759	32500	a.faessler	RID_REF	1
2034	11811	32551	a.fayyazuddin	RID_REF	5
2049	11835	32577	a.feinstein	RID_REF	6
2050	11837	32579	a.felce	RID_REF	1
2059	11851	32592	a.feoli	RID_REF	4
2067	11861	32604	a.ferrando	RID_REF	4
2127	11953	32698	a.flachi	RID_REF	5
2151	11995	32735	a.foerster	RID_REF	1
2159	12006	32746	a.font	RID_REF	8
2165	12015	32756	a.forge	RID_REF	4
2174	12027	32774	a.fotopoulos	RID_REF	3
2231	12115	32871	a.fring	RID_REF	31
2244	12139	32895	a.frydryszak	RID_REF	1
2255	12156	32914	a.fujii	RID_REF	3
11	8899	29573	a.g.abanov	RID_REF	3
79	9004	29680	a.g.agnese	RID_REF	1
976	10297	31005	a.g.bueno	RID_REF	1
1005	10337	31047	a.g.bytsko	RID_REF	6
3307	13708	34509	a.g.izergin	RID_REF	3
3315	13719	34520	a.g.jacksenaev	RID_REF	2
4457	15348	36171	a.g.litvak	RID_REF	1
6123	17724	38635	a.g.m.pickering	RID_REF	1
6982	18990	39931	a.g.m.schmidt	RID_REF	6
5091	16251	37126	a.g.mirzabekian	RID_REF	2
6281	17971	38884	a.g.pronko	RID_REF	1
6564	18385	39306	a.g.rodrigues	RID_REF	1
6604	18438	39361	a.g.rojo	RID_REF	1
7063	19112	40058	a.g.sedrakyan	RID_REF	4
7253	19390	40340	a.g.sibiryakov	RID_REF	3
8098	20596	41565	a.g.ushveridze	RID_REF	6
8436	21114	42099	a.g.williams	RID_REF	2
8833	21663	42662	a.g.zorin	RID_REF	1
2299	12219	32982	a.gabor	RID_REF	1
2320	12251	33021	a.galajinsky	RID_REF	4
2322	12256	33024	a.galante	RID_REF	1
2333	12270	33039	a.galperin	RID_REF	8
2335	12274	33042	a.gamba	RID_REF	4
2339	12282	33050	a.ganchev	RID_REF	1
2342	12287	33055	a.gangopadhyaya	RID_REF	5
2359	12313	33081	a.garcia	RID_REF	1
4453	15341	36164	a.garrett lisi	RID_REF	1
2416	12395	33172	a.gerasimov	RID_REF	4
2420	12401	33177	a.gerhold	RID_REF	2
2442	12431	33208	a.ghodsi	RID_REF	1
2444	12435	33212	a.ghosh	RID_REF	14
2464	12461	33238	a.giaquinto	RID_REF	1
2502	12521	33298	a.giveon	RID_REF	24
2528	12559	33337	a.goldhaber	RID_REF	1
2538	12571	33349	a.gomberoff	RID_REF	2
5525	16861	37747	a.gomez nicola	RID_REF	4
2556	18567	33375	a.gonzalez ruiz	RID_REF	1
2556	12594	33375	a.gonzalez--ruiz	RID_REF	5
2559	12600	33380	a.gonzalez-arroyo	RID_REF	10
2557	12597	33376	a.gonzalez-lopez	RID_REF	4
2556	12595	33375	a.gonzalez-ruiz	RID_REF	1
2577	12625	33408	a.gorsky	RID_REF	33
2623	12693	33481	a.grassi	RID_REF	2
2643	12723	33511	a.gregori	RID_REF	3
2692	12801	33585	a.gruppuso	RID_REF	2
2707	12823	33607	a.guerra	RID_REF	1
2752	12885	33671	a.gusev	RID_REF	2
715	9903	30599	a.h.bilge	RID_REF	6
847	10089	30796	a.h.bougourzi	RID_REF	8
5491	16818	37702	a.h.castro neto	RID_REF	1
1193	10620	31340	a.h.chamseddine	RID_REF	25
2024	11794	32534	a.h.fariborz	RID_REF	1
2031	11805	32546	a.h.fatollahi	RID_REF	4
2828	12985	33774	a.h.hamici	RID_REF	1
6479	18267	39185	a.h.rezaeian	RID_REF	1
8628	21370	42360	a.h.yeranyan	RID_REF	1
8815	21639	42638	a.h.zimerman	RID_REF	32
847	10090	30796	a.hamid bougourzi	RID_REF	2
2832	12989	33780	a.hammou	RID_REF	1
2839	13000	33789	a.hanany	RID_REF	6
2855	13021	33810	a.harindranath	RID_REF	9
2878	13057	33847	a.hashimoto	RID_REF	1
2903	13092	33883	a.hatzinikitas	RID_REF	1
2908	13098	33890	a.havare	RID_REF	4
2929	13127	33919	a.hegedus	RID_REF	2
2958	13172	33968	a.herat	RID_REF	1
2971	13192	33989	a.herrera	RID_REF	3
2987	13217	34013	a.hietamaki	RID_REF	1
3047	13304	34100	a.holfter	RID_REF	1
3061	13328	34125	a.honecker	RID_REF	14
2769	12907	33697	a.huffmann	RID_REF	1
3152	13473	34274	a.hulsebos	RID_REF	1
8740	21537	42533	a.i zelnikov	RID_REF	1
138	9084	29761	a.i.alekseev	RID_REF	1
452	9528	30218	a.i.balinsky	RID_REF	1
980	10301	31011	a.i.bugrij	RID_REF	7
1602	11177	31907	a.i.davydychev	RID_REF	8
3293	13685	34485	a.i.ivanov	RID_REF	1
3555	14078	34882	a.i.karanikas	RID_REF	4
5065	16212	37087	a.i.milstein	RID_REF	2
5261	16493	37371	a.i.mudrov	RID_REF	1
5461	16766	37648	a.i.neelov	RID_REF	2
5488	16814	37697	a.i.nesterov	RID_REF	1
5558	16910	37797	a.i.nikishov	RID_REF	6
5959	17479	38387	a.i.pashnev	RID_REF	1
7395	19593	40544	a.i.sokolov	RID_REF	5
8210	20770	41749	a.i.veselov	RID_REF	3
8272	20867	41848	a.i.volovich	RID_REF	1
8740	21535	42533	a.i.zelnikov	RID_REF	4
3204	13549	34348	a.ilakovac	RID_REF	2
3205	13551	34350	a.ilha	RID_REF	3
3214	13566	34366	a.imaanpur	RID_REF	6
3246	13615	34414	a.iorio	RID_REF	6
3253	13626	34425	a.isar	RID_REF	1
3262	13638	34437	a.ishikawa	RID_REF	2
3269	13650	34450	a.iskandar	RID_REF	1
822	10061	30764	a.j.bordner	RID_REF	5
7267	19413	40362	a.j.da silva	RID_REF	30
