id:ID	val:string	label:LABEL	weight:int
1	29558	RID	11
2	31929	RID	2
3	29561	RID	3
4	37007	RID	3
5	29563	RID	1
6	29564	RID	3
7	29565	RID	5
8	29568	RID	4
9	29570	RID	4
10	29571	RID	2
11	29573	RID	4
12	29574	RID	1
13	29576	RID	6
14	29578	RID	50
15	29579	RID	20
16	29581	RID	13
17	29582	RID	1
18	29583	RID	2
19	29584	RID	3
20	29586	RID	4
21	29587	RID	1
22	29588	RID	8
23	29589	RID	9
24	29592	RID	1
25	29593	RID	1
26	29594	RID	1
27	29596	RID	10
28	29597	RID	1
29	29598	RID	1
30	29599	RID	1
31	29603	RID	4
32	29605	RID	13
33	29607	RID	3
34	29608	RID	1
35	29611	RID	21
36	29612	RID	1
37	29613	RID	1
38	29615	RID	10
39	29617	RID	3
40	29618	RID	5
41	29619	RID	2
42	29620	RID	4
43	29621	RID	8
44	29623	RID	25
45	29627	RID	4
46	29628	RID	7
47	29631	RID	1
48	29633	RID	4
49	29634	RID	1
50	29635	RID	5
51	29637	RID	2
52	29638	RID	2
53	29640	RID	28
54	29642	RID	5
55	29643	RID	9
56	29645	RID	2
57	29646	RID	1
58	29647	RID	1
59	29648	RID	2
60	29649	RID	1
61	29653	RID	6
62	29654	RID	1
63	29656	RID	3
64	29657	RID	1
65	29659	RID	3
66	29660	RID	1
67	29662	RID	3
68	29663	RID	3
69	29665	RID	23
70	29667	RID	2
71	29668	RID	3
72	29669	RID	18
73	29670	RID	3
74	29671	RID	1
75	29674	RID	3
76	29675	RID	3
77	29677	RID	14
78	29679	RID	1
79	29680	RID	1
80	29681	RID	1
81	29682	RID	1
82	29683	RID	1
83	29684	RID	3
84	29685	RID	2
85	29686	RID	1
86	29688	RID	6
87	29690	RID	46
88	29691	RID	1
89	29693	RID	12
90	29694	RID	1
91	29695	RID	1
92	29696	RID	2
93	29698	RID	48
94	29699	RID	21
95	29700	RID	1
96	29701	RID	1
97	29703	RID	4
98	29704	RID	1
99	29705	RID	1
100	29706	RID	1
101	29707	RID	1
102	29708	RID	8
103	29710	RID	9
104	29711	RID	4
105	29712	RID	3
106	29713	RID	2
107	29715	RID	24
108	29716	RID	2
109	29718	RID	16
110	29720	RID	5
111	29721	RID	1
112	29722	RID	2
113	29723	RID	2
114	29725	RID	7
115	29726	RID	1
116	29727	RID	1
117	29728	RID	1
118	29729	RID	1
119	29730	RID	1
120	29731	RID	3
121	29732	RID	1
122	29734	RID	7
123	29735	RID	3
124	29736	RID	1
125	29738	RID	5
126	29739	RID	5
127	29741	RID	5
128	29745	RID	9
129	29747	RID	4
130	29749	RID	8
131	29750	RID	3
132	29752	RID	25
133	29754	RID	18
134	29756	RID	5
135	29757	RID	2
136	29758	RID	1
137	29759	RID	1
138	29761	RID	1
139	29765	RID	21
140	29766	RID	2
141	29767	RID	1
142	29768	RID	2
143	29769	RID	1
144	29772	RID	8
145	29774	RID	12
146	29775	RID	4
147	29776	RID	2
148	29778	RID	2
149	29781	RID	7
150	29783	RID	7
151	29784	RID	1
152	29785	RID	1
153	29787	RID	25
154	29788	RID	3
155	29790	RID	4
156	29791	RID	1
157	29792	RID	6
158	29793	RID	1
159	29794	RID	2
160	29797	RID	22
161	29799	RID	33
162	29800	RID	4
163	29801	RID	2
164	29802	RID	2
165	29803	RID	4
166	29805	RID	4
167	29806	RID	2
168	29807	RID	6
169	29808	RID	1
170	29809	RID	1
171	29811	RID	13
172	29812	RID	1
173	29813	RID	1
174	29814	RID	1
175	29815	RID	1
176	29817	RID	9
177	29818	RID	1
178	29819	RID	1
179	29821	RID	5
180	29822	RID	5
181	29823	RID	1
182	29824	RID	1
183	29826	RID	3
184	29827	RID	1
185	29828	RID	1
186	29829	RID	1
187	29831	RID	6
188	29833	RID	1
189	29834	RID	6
190	29835	RID	5
191	29836	RID	9
192	29837	RID	1
193	29838	RID	1
194	29841	RID	3
195	29842	RID	1
196	29843	RID	1
197	29844	RID	6
198	29845	RID	30
199	29846	RID	1
200	29848	RID	6
201	29850	RID	4
202	29852	RID	52
203	29855	RID	2
204	29857	RID	34
205	29858	RID	2
206	29860	RID	23
207	29861	RID	2
208	29863	RID	11
209	29866	RID	8
210	29867	RID	1
211	29869	RID	6
212	29870	RID	1
213	29871	RID	3
214	29873	RID	10
215	29874	RID	3
216	29875	RID	1
217	29876	RID	1
218	29878	RID	9
219	29879	RID	1
220	29880	RID	1
221	29881	RID	1
222	29882	RID	1
223	29883	RID	2
224	29884	RID	8
225	29885	RID	14
226	29887	RID	2
227	29888	RID	3
228	29889	RID	1
229	29892	RID	12
230	29893	RID	1
231	29894	RID	1
232	29895	RID	18
233	29899	RID	33
234	29900	RID	13
235	29901	RID	7
236	29902	RID	1
237	29903	RID	1
238	29904	RID	1
239	29905	RID	1
240	29907	RID	18
241	29908	RID	1
242	29909	RID	4
243	29911	RID	6
244	29912	RID	1
245	29913	RID	3
246	29914	RID	2
247	29916	RID	4
248	29918	RID	3
249	29920	RID	41
250	29921	RID	4
251	29923	RID	15
252	29924	RID	1
253	29925	RID	2
254	29927	RID	2
255	29928	RID	1
256	29930	RID	66
257	29931	RID	1
258	29934	RID	5
259	29937	RID	44
260	29938	RID	5
261	29940	RID	22
262	29941	RID	1
263	29942	RID	1
264	29944	RID	9
265	29945	RID	6
266	29946	RID	6
267	29948	RID	2
268	29949	RID	13
269	29951	RID	11
270	29952	RID	1
271	29954	RID	3
272	29956	RID	6
273	29957	RID	3
274	29958	RID	7
275	29959	RID	2
276	29961	RID	2
277	29962	RID	7
278	29963	RID	7
279	29964	RID	2
280	29965	RID	1
281	29966	RID	2
282	29967	RID	2
283	29968	RID	1
284	29970	RID	28
285	29972	RID	7
286	29973	RID	1
287	29975	RID	18
288	29976	RID	1
289	29980	RID	57
290	29981	RID	16
291	29982	RID	2
292	29984	RID	16
293	29987	RID	28
294	29988	RID	1
295	29990	RID	1
296	29993	RID	12
297	29996	RID	8
298	29997	RID	1
299	29998	RID	1
300	29999	RID	3
301	30000	RID	1
302	30001	RID	20
303	30002	RID	1
304	30003	RID	4
305	30004	RID	3
306	30006	RID	24
307	30008	RID	12
308	30009	RID	1
309	30011	RID	13
310	30012	RID	4
311	30013	RID	1
312	30014	RID	7
313	30017	RID	8
314	30019	RID	4
315	30021	RID	2
316	30022	RID	4
317	30023	RID	4
318	30024	RID	1
319	30025	RID	2
320	30028	RID	39
321	30029	RID	3
322	30030	RID	1
323	30031	RID	2
324	30032	RID	1
325	30034	RID	8
326	30035	RID	14
327	30036	RID	1
328	30038	RID	15
329	30039	RID	1
330	30040	RID	1
331	30041	RID	1
332	30043	RID	14
333	30044	RID	1
334	30046	RID	15
335	30050	RID	38
336	30051	RID	1
337	30052	RID	1
338	30054	RID	4
339	30056	RID	9
340	30057	RID	1
341	30058	RID	1
342	30059	RID	1
343	30060	RID	1
344	30061	RID	1
345	30063	RID	3
346	30064	RID	1
347	30065	RID	1
348	30066	RID	2
349	30067	RID	3
350	30068	RID	2
351	30069	RID	1
352	30070	RID	1
353	30071	RID	1
354	30072	RID	4
355	30074	RID	6
356	30075	RID	2
357	30077	RID	14
358	30078	RID	3
