fr_id:START_ID	to_id:END_ID	fr_val:string	to_val:string	type:TYPE	val:int
14760	21565	a frohner	a	REF_TKN	1
14735	21565	a. a. b. lima	a	REF_TKN	1
14735	21565	a. a. b. lima	a	REF_TKN	2
2891	21565	a. a. castro jr.	a	REF_TKN	1
2891	21565	a. a. castro jr.	a	REF_TKN	2
4953	21565	a. a. cuellar	a	REF_TKN	1
4953	21565	a. a. cuellar	a	REF_TKN	2
13540	21565	a. a. kaposi	a	REF_TKN	1
13540	21565	a. a. kaposi	a	REF_TKN	2
5248	21565	a. abdulmalak	a	REF_TKN	1
8797	21565	a. abou-el-maga	a	REF_TKN	1
10819	21565	a. acquisti	a	REF_TKN	1
3430	21565	a. ait haddou	a	REF_TKN	1
1566	21565	a. alayed	a	REF_TKN	1
928	21565	a. alfonso may	a	REF_TKN	1
12873	21565	a. amend	a	REF_TKN	1
5845	21565	a. anbulagan	a	REF_TKN	1
8744	21565	a. arango	a	REF_TKN	1
8293	21565	a. ardeshir goshtasby	a	REF_TKN	1
19400	21565	a. arenas	a	REF_TKN	1
6073	21565	a. argyriou	a	REF_TKN	1
15158	21565	a. ayaz	a	REF_TKN	1
21070	21565	a. ayoun	a	REF_TKN	1
8500	21565	a. b. (rami) shani	a	REF_TKN	1
9241	21565	a. b. m. shawkat ali	a	REF_TKN	1
14532	21565	a. b. martinez prieto	a	REF_TKN	1
14257	21565	a. backer	a	REF_TKN	1
4503	21565	a. balaguer	a	REF_TKN	1
1469	21565	a. benson	a	REF_TKN	1
15381	21565	a. bertolet	a	REF_TKN	1
19246	21565	a. bezboruah	a	REF_TKN	1
6931	21565	a. bianchi	a	REF_TKN	1
1809	21565	a. bona	a	REF_TKN	1
1371	21565	a. brandeau	a	REF_TKN	1
15034	21565	a. burns	a	REF_TKN	1
9595	21565	a. c. a. marijnissen	a	REF_TKN	1
9595	21565	a. c. a. marijnissen	a	REF_TKN	3
6835	21565	a. canas	a	REF_TKN	1
6680	21565	a. carpintero	a	REF_TKN	1
