author_id_1	author_id_2	author_name_1	author_name_2
3636	7155	a. c. scott	andrew c. scott
2016	6453	a. guenoche	alain guenoche
1625	6264	a. j. dadej	arek dadej
2187	6540	a. volgenant	ton volgenant
2048	6469	abdessamad ben hamza	a. ben hamza
58	5545	abraham d. flaxman	abraham flaxman
1212	6081	achilles kameas	achilles d. kameas
1218	6085	achutavarrier prasad vinod	a. prasad vinod
5224	7714	adam anthony	adam paul anthony
3991	7301	addison y. s. su	addison y. s. sue
229	5622	adin matthew scannell	adin scannell
1087	6023	agi kurucz	agnes kurucz
2041	6464	aiman el-maleh	aiman h. el-maleh
3718	7195	ajay anil mahimkar	ajay mahimkar
1903	6396	albert messmer	albert me?mer
1211	6080	alberto raposo	alberto barbosa raposo
3134	6972	alejandra ferreira	alejandra ferreira de loza
560	5775	alessandra alaniz macedo	alessandra a. macedo
1995	6446	alex sellink	m. p. a. sellink
1989	6444	alexa doboli	alex doboli
3366	7050	alexander kesselman	alexander keizelman
815	5892	alexander kroller	alexander kroeller
3931	7281	alexandra mazalek	ali mazalek
22	5531	alexandre aussem	alex aussem
2044	6466	alexandre marcos lins de vasconcelos	alexandre vasconcelos
3845	7247	alexandre mota	alexandre cabral mota
1213	1213	alexandre proutiere	alexandre proutiere
3629	7152	alexis m. tourapis	alexis michael tourapis
1508	6202	ali kamen	ali khamene
1469	6191	allen miu	allen k. l. miu
5019	7670	alvaro graves fuenzalida	alvaro graves
1458	6187	alwyn roshan pais	alwyn r. pais
320	5665	amal perera	amal shehan perera
5022	7672	americo m. c. correia	americo correia
664	5817	amin sayedi	amin s. sayedi-roshkhar
1947	6423	amir saffari	amir reza saffari azar alamdari
2641	6740	an nguyen	an thai nguyen
2181	6536	ana moreira	ana m. d. moreira
913	5940	anand tripathi	anand r. tripathi
2229	6558	anca loredana ion	anca ion
1501	1501	andras farago	andras farago
4603	7544	andreas pleu?	andreas pleuss
430	5719	andres marzal	andres marzal-varo
2334	6599	andrew calway	andrew d. calway
1422	6168	andrew laine	andrew f. laine
5480	7747	andy livingstone	andrew livingstone
484	484	angel fernando kuri morales	angel fernando kuri morales
466	5735	angelika kotz dittrich	angelika m. kotz
1731	6315	anna carpenter cavender	anna cavender
1135	6045	anna radzikowska	anna maria radzikowska
1046	6006	anna v. baranova	ancha v. baranova
1786	6346	anne diekema	anne r. diekema
804	5886	anne-sophie dewalle-vignion	anne-sophie dewalle
2511	6679	anthony tung shuen ho	anthony t. s. ho
5351	7734	antonio abelem	antonio jorge gomes abelem
5035	7676	antonio arcos cebrian	antonio arcos
1957	6431	antonio carlos dominguez-brito	antonio c. dominguez
1980	6442	antonio fernandez anta	antonio fernandez
1718	6310	antonio j. nebro	antonio jose nebro
4627	7556	antonio j. plaza	antonio plaza
3697	7185	antonio jose jimeno-yepes	antonio jimeno-yepes
1842	6373	antonio leon jimenez	antonio leon
1976	1976	antonio mana	antonio mana
4382	7465	antonio-manuel vidal-macia	antonio m. vidal
3510	7105	april slayden	april slayden mitchell
1675	6287	araceli sanchis de miguel	araceli sanchis
3236	7004	argyris zymnis	argyrios zymnis
4068	7334	ashish choudhury	ashish choudhary
900	5933	atulya k. nagar	atulya nagar
2283	2283	avare stewart	avare stewart
898	5932	avinash g. keskar	avinash keskar
672	5823	azzam f. taktak	azzam fouad george taktak
1977	6441	b. d. chaudhary	banshi dhar chaudhary
3009	6912	b. r. badrinath	badri nath
1084	6021	b. sundar rajan	bikash sundar rajan
2422	6634	balan gurumoorthy	b. gurumoorthy
1970	6439	balasubramaniam srinivasan	bala srinivasan
3746	7206	balbir barn	balbir s. barn
2033	6459	barbora zimmerova	barbora buhnova
3803	7232	basuki e. priyanto	basuki endah priyanto
603	5793	behrouz h. far	behrouz homayoun far
882	5920	behrouz minaei	behrouz minaei-bidgoli
340	5676	ben recht	benjamin recht
666	5818	benjamin m. m. de weger	benne de weger
4665	7567	benjamin salem	ben salem
2444	2444	bernard peroche	bernard peroche
2463	6656	bernd g. m. e. blobel	bernd blobel
2443	6648	bhakthavathsalam ramaswamy	r. bhakthavathsalam
741	5858	bijendra n. jain	bijendra nath jain
4191	7388	bill dieter	william r. dieter
3842	7244	bipul chandra paul	bipul c. paul
4245	7407	bjorn h. menze	bjoern h. menze
2146	2146	bo sanden	bo sanden
3722	7197	bo-cheng lai	bo-cheng charles lai
4040	7325	bob mungamuru	bobji mungamuru
1591	6245	borislav vidolov	boris vidolov
1005	5987	borje karlsson	borje felipe fernandes karlsson
1028	6001	boting yang	bo-ting yang
2800	6810	brendan j. babb	brendan babb
1563	6228	bruce graham	bruce p. graham
1967	6437	bu-sung lee	francis bu-sung lee
394	5701	c. mani krishna	c. m. krishna
910	5937	cagdas e. gerede	cagdas evren gerede
2828	6827	carina ihlstrom	carina ihlstrom eriksson
4061	7331	carina s. gonzalez	c. s. gonzalez
2840	6831	carlisle adams	carlisle m. adams
4840	7617	carlos j. alonso-gonzalez	carlos j. alonso
422	5715	carlos manuel travieso-gonzalez	carlos m. travieso
5178	7704	carmen camarero	carmen camarero izquierdo
4563	7529	carmen sanchez-avila	carmen sanchez avila
1372	6153	cati vaucelle	catherine vaucelle
216	5614	cecilia zanni	cecilia zanni-merk
2761	6793	celso alberto saibel santos	c. a. s. santos
4565	7530	chanchal kumar roy	chanchal k. roy
851	5909	chandra narayanaswami	chandrasekhar narayanaswami
1445	6181	chandra sekhar seelamantula	s. chandra sekhar
5121	7691	chandrasekar sankaran	chandy sankaran
354	5682	changjie tang	chang-jie tang
2565	6706	charles j. gillan	charles gillan
996	5981	charlie mcdowell	charles e. mcdowell
593	5788	charlie yong-sang shim	charlie y. shim
2197	2197	chengxiang zhai	chengxiang zhai
243	5628	ching-wei yeh	chingwei yeh
1498	6199	chinthananda tellambura	chintha tellambura
1751	6327	chitta mandal	chittaranjan a. mandal
1134	6044	chris burges	christopher j. c. burges
5236	7716	chris fowler	christopher fowler
3863	7253	chris halaschek	christian halaschek-wiener
4777	7606	chris hardin	christopher hardin
1750	6326	chris w. clegg	christopher clegg
2646	6742	christian biemann	chris biemann
218	5615	christian gla?er	christian glasser
3700	7186	christian gro?mann	christian grossmann
1804	6352	christie i. ezeife	c. i. ezeife
5347	7733	christina stoica-kluver	christina stoica
724	5850	christine halverson	christine a. halverson
871	5916	christine largeron	christine largeron-leteno
2938	6880	christopher h. nevison	chris nevison
2192	6544	christopher krugel	christopher kruegel
3952	7292	christopher rowen	chris rowen
4165	7378	christopher w. clifton	chris clifton
845	5907	chun jason xue	chun xue
2764	6795	cigdem gunduz demir	cigdem demir
872	5917	clarisse dhaenens	clarisse dhaenens-flipo
1509	6203	claudia muller	claudia muller-birn
302	5658	claudio fernando resin geyer	claudio f. r. geyer
3448	7083	claudio meneses villegas	claudio meneses
240	5627	colin mcdiarmid	colin j. h. mcdiarmid
1966	6436	constantine kotropoulos	costas kotropoulos
2134	6512	constantinos e. goutis	costas e. goutis
1753	6329	cornelis h. slump	kees slump
1739	6319	cristina cachero castro	cristina cachero
4986	7662	cristobal luque	cristobal luque del arco-calderon
3828	7241	curtis langlotz	curtis p. langlotz
2414	6632	d. dutta majumder	dwijesh dutta majumder
2691	6758	d. gnanaraj thomas	d. g. thomas
3454	7085	d. m. titterington	d. mike titterington
1514	6205	d. sculley	david sculley
715	5845	dalton dario serey guerrero	dalton serey guerrero
3506	7103	dan connors	daniel a. connors
3672	7172	dan r. olsen	dan r. olsen jr.
98	5566	daniel hughes	danny hughes
382	5693	daniel jurafsky	dan jurafsky
4155	7372	daniel k. gunter	dan gunter
2156	6524	daniel kroening	daniel kroning
4510	7504	daniel m. gruen	dan gruen
2413	6631	daniel p. w. ellis	dan ellis
5377	7737	daniel raymond tri dang firpo	daniel firpo
170	5592	daniel-ioan curiac	daniel curiac
4380	7464	david gross	david gross-amblard
2216	6553	david h. wolpert	david wolpert
4348	7449	david koes	david ryan koes
4340	7446	david raffo	david m. raffo
400	5703	david simplot	david simplot-ryl
797	5884	david squire	david mcg. squire
1667	6284	david wai-lok cheung	david w. cheung
2103	6497	dawn lawrie	dawn j. lawrie
3660	7165	denis f. wolf	denis fernando wolf
2157	6525	derek anderson	derek t. anderson
12	5528	detlef sa?	detlef sass
