id:ID	val:string	label:LABEL	weight:int
1	rene banares-alcantara	REF	2
2	juan martinez-miranda	REF	1
3	arantza aldea	REF	1
4	josh m. p. king	REF	1
5	rene bananres-alcantara	REF	4
6	zainuddin a. manan	REF	1
7	juan a. poce-fatou	REF	3
8	joaquin martin	REF	3
9	j. j. gallardo	REF	1
10	shuzhi sam ge	REF	1
11	tong heng lee	REF	1
12	zhuping wang	REF	1
13	kay chen tan	REF	11
14	t. h. lee	REF	14
15	e. f. khor	REF	9
16	a. p. loh	REF	1
17	v. srinivasan	REF	1
18	l. f. wang	REF	1
19	prahlad vadakkepat	REF	1
20	j. cai	REF	2
21	c. m. heng	REF	2
22	q. yu	REF	1
23	l. huang	REF	1
24	s. s. ge	REF	1
25	y. j. yang	REF	1
26	h. k. lam	REF	1
27	f. h. frank leung	REF	1
28	peter kwong-shun tam	REF	1
29	d. c. ang	REF	1
30	wenling wu	REF	1
31	bao li	REF	1
32	dengguo feng	REF	5
33	sihan qing	REF	10
34	gang yao	REF	1
35	kui ren	REF	1
36	feng bao	REF	2
37	robert h. deng	REF	2
38	jianchun jiang	REF	1
39	weifeng chen	REF	1
40	zhen xu	REF	1
41	lan li	REF	1
42	hua chen	REF	1
43	wu wenling	REF	1
44	feng dengguo	REF	3
45	qing sihan	REF	3
46	jiang shaoquan	REF	1
47	wang mingsheng	REF	1
48	jianying zhou	REF	3
49	jan h. p. eloff	REF	1
50	zhimin song	REF	1
51	guilin wang	REF	1
52	mingsheng wang	REF	1
53	zhanfei zhou	REF	1
54	tatsuaki okamoto	REF	2
55	yongfei han	REF	1
56	dieter gollmann	REF	1
57	yeping he	REF	1
58	stina svensson	REF	2
59	pieter p. jonker	REF	2
60	matthijs t. j. spaan	REF	1
61	marco wiering	REF	1
62	robert bartelds	REF	2
63	raymond donkervoort	REF	1
64	pieter jonker	REF	23
65	frans c. a. groen	REF	6
66	stelian persa	REF	3
67	jie han	REF	1
68	cristina nicolescu	REF	7
69	ishfaq ahmad	REF	1
70	bertil schmidt	REF	1
71	andreas uhl	REF	1
72	jurjen caarls	REF	4
73	frank de jong	REF	2
74	inald lagendijk	REF	1
75	obbe vermeij	REF	1
76	bas albers	REF	1
77	will van geest	REF	1
78	andrei radulescu	REF	2
79	arjan j. c. van gemund	REF	2
80	alain ayache	REF	1
81	virginio cantoni	REF	1
82	concettina guerra	REF	1
83	henri e. bal	REF	2
84	raoul bhoedjang	REF	1
85	rutger f. h. hofman	REF	1
86	ceriel j. h. jacobs	REF	1
87	thilo kielmann	REF	1
88	jason maasen	REF	1
