author_id_1	author_id_2	author_name_1	author_name_2
14754	14760	a frohner	akos frohner
10812	10819	a. acquisti	alessandro acquisti
5846	5845	a. anbulagan	anbulagan
8499	8500	a. b. (rami) shani	abraham b. shani
1806	1809	a. bona	andrea bona
471	15034	a. burns	alan burns
6822	6835	a. canas	antonio canas
5656	5647	a. cleary	andrew j. cleary
12881	12888	a. cucchiarelli	alessandro cucchiarelli
2938	2940	a. d. zakrevskij	arkadij zakrevskij
19026	19036	a. danjou	alicia danjou
8612	8637	a. de carvalho	andre carlos ponce leon ferreira de carvalho
10185	11923	a. dharchoudhury	abhijit dharchoudhury
17695	16657	a. diaz-ilarraza	arantza diaz de ilarraza
16649	16657	a. diaz-ilarraza	arantza diaz de ilarraza sanchez
3777	3782	a. doucet	arnaud doucet
4892	4916	a. espinosa-lujan	ada espinosa-lujan
1480	1490	a. evens jr.	arthur evans jr.
10757	10786	a. feldmann	anja feldmann
20001	20004	a. g. sittampalam	ganesh sittampalam
17114	17117	a. gerstlauer	andreas gerstlauer
5016	5019	a. giret	adriana giret
19691	19693	a. globerson	amir globerson
5877	5937	a. gonzalez	antonio gonzalez
13673	13679	a. j. daga	ajay j. daga
9314	9326	a. kalinov	alexey kalinov
12704	12711	a. kamiya	akimoto kamiya
10715	10708	a. kanhare	abhay kanhere
7948	7949	a. kannan	anitha kannan
7860	7863	a. katkov	aleksander katkov
5513	2757	a. l. ananda	akkihebba l. ananda
2745	2757	a. l. ananda	akkihebbal l. ananda
1653	16683	a. lim	andrew lim
3361	3365	a. matsiki	alexandros matsikis
12192	12199	a. micsik	andras micsik
19473	19482	a. molano	anastasio molano
5214	5216	a. movaghar	ali movaghar
20323	20352	a. mukherjee	amar mukherjee
17791	17777	a. naim	avi naim
8508	8511	a. parrain	anne parrain
6102	20739	a. perez-uribe	andres perez-uribe
2933	2934	a. polymeris	andreas polymeris
19622	19625	a. s. llado	anna s. llado
9875	9881	a. t. phillips	andrew t. phillips
13542	13546	a. tirado-ramos	alfredo tirado-ramos
17998	17999	a. v. patel	ambalal v. patel
15829	15831	a. virazel	arnaud virazel
2977	2956	a. wagner	alan wagner
1772	19210	a. zelikovsky	alexander zelikovsky
5148	9173	aahmed amine jerraya	ahmed amine jerraya
9859	9872	aart blockhuis	aart blokhuis
3818	19661	abbas el gamal	abbas el-gamal
17798	17799	abdalla a. abdel-ghaly	abdallah a. abdel-ghaly
17343	17343	abdelkader gouaich	abdelkader gouaich
15801	15813	abdulmotaleb el saddik	abdulmotaleb el-saddik
18343	18346	abhinandan jain	alhinandan jain
19651	19667	abraham ziv	avi ziv
10247	10247	adolfo guzman-arenas	adolfo guzman-arenas
2856	6076	adonios thanailakis	antonios thanailakis
20739	12213	adres perez-uribe	a. perez-uribe
6102	12213	adres perez-uribe	andres perez-uribe
9969	9973	adrian hilton	adrian j. hilton
2567	2574	adrian west	adrian j. west
